"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
017118,5,,5,,92,,5,,90,,5,,89,,4,,91,,82,,160,,25,,
017119,4,,4,,90,,3,,85,,5,,86,,3,,86,,78,,474,,24,,
017121,5,,5,,93,,5,,89,,5,,89,,4,,88,,85,,153,,31,,
017123,5,,5,,94,,5,,87,,5,,90,,4,,90,,87,,145,,26,,
017124,5,,5,,92,,5,,92,,5,,89,,4,,90,,87,,120,,42,,
017125,5,,5,,92,,5,,90,,4,,84,,4,,88,,83,,300,,26,,
017128,5,,5,,94,,5,,93,,5,,89,,5,,92,,90,,442,,28,,
017129,5,,5,,94,,5,,91,,5,,89,,4,,91,,89,,271,,27,,
017132,4,,5,,94,,5,,93,,3,,79,,4,,92,,88,,79,,18,,
017134,5,,5,,92,,5,,91,,5,,88,,4,,89,,86,,360,,31,,
017135,5,,5,,97,,5,,97,,5,,91,,5,,94,,91,,70,,29,,
017136,3,11,3,11,86,11,3,11,85,11,5,11,90,11,2,11,82,11,75,11,60,11,31,11,11
017138,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017142,5,,5,,94,,4,,89,,5,,88,,4,,90,,83,,124,,25,,
017143,5,,5,,91,,5,,90,,5,,91,,5,,93,,83,,137,,29,,
017145,5,,5,,92,,5,,90,,5,,88,,4,,90,,84,,308,,24,,
017146,Not Available,11,Not Available,11,99,11,Not Available,11,93,11,Not Available,11,95,11,Not Available,11,92,11,83,11,29,11,27,11,11
017147,5,,5,,92,,5,,87,,5,,88,,4,,91,,85,,93,,25,,
017148,4,,4,,90,,5,,89,,4,,84,,4,,89,,84,,251,,22,,
017149,5,,4,,90,,5,,89,,5,,87,,4,,90,,83,,304,,21,,
017151,5,,5,,92,,5,,91,,5,,86,,5,,93,,91,,144,,27,,
017152,5,,5,,96,,5,,90,,5,,87,,5,,91,,90,,77,,22,,
017153,5,,5,,92,,5,,90,,4,,84,,4,,90,,81,,305,,21,,
017154,4,,4,,89,,3,,86,,4,,83,,4,,92,,82,,125,,22,,
017155,5,,5,,91,,4,,88,,5,,89,,4,,88,,83,,316,,27,,
017157,5,,5,,92,,5,,88,,4,,85,,4,,92,,79,,128,,21,,
017158,5,,5,,92,,5,,90,,5,,87,,4,,88,,85,,284,,27,,
017159,4,,4,,90,,4,,88,,4,,83,,4,,88,,82,,350,,27,,
017160,5,,5,,90,,5,,91,,5,,89,,4,,92,,86,,73,,26,,
017161,4,,4,,88,,4,,83,,3,,79,,3,,81,,78,,219,,21,,
017163,5,,4,,91,,5,,90,,5,,86,,4,,92,,84,,129,,26,,
017164,5,,5,,93,,5,,91,,4,,84,,4,,91,,86,,287,,27,,
017165,5,,5,,93,,5,,91,,5,,87,,5,,93,,88,,256,,25,,
017166,4,,5,,91,,5,,92,,4,,83,,3,,86,,78,,129,,27,,
017167,4,,5,,93,,5,,90,,3,,79,,4,,88,,85,,89,,22,,
017168,5,,5,,91,,5,,88,,5,,90,,4,,90,,77,,176,,22,,
017170,5,,5,,94,,5,,92,,4,,85,,5,,94,,87,,159,,25,,
017171,5,,4,,90,,5,,90,,5,,86,,4,,89,,82,,218,,26,,
017175,4,,4,,90,,4,,88,,4,,85,,3,,86,,82,,254,,25,,
017176,4,,4,,89,,3,,83,,5,,90,,3,,85,,72,,94,,18,,
017177,5,,5,,92,,5,,90,,5,,87,,4,,94,,85,,157,,23,,
017178,5,,5,,91,,5,,90,,4,,82,,4,,90,,81,,352,,24,,
017179,4,,4,,88,,3,,86,,4,,83,,3,,87,,75,,360,,19,,
017180,3,,4,,88,,3,,83,,2,,77,,2,,81,,73,,165,,20,,
017182,4,11,5,11,91,11,5,11,93,11,3,11,81,11,3,11,88,11,82,11,45,11,22,11,11
017300,5,,5,,92,,5,,90,,5,,87,,4,,90,,87,,356,,27,,
017305,5,,5,,91,,5,,88,,5,,86,,4,,89,,85,,338,,27,,
017307,5,,5,,92,,5,,92,,4,,85,,4,,93,,86,,130,,22,,
017319,4,,4,,90,,4,,85,,4,,83,,3,,86,,77,,349,,24,,
017320,5,,5,,94,,5,,90,,5,,88,,4,,90,,86,,348,,25,,
017323,5,,5,,91,,5,,93,,5,,91,,4,,91,,89,,93,,40,,
017324,5,,5,,91,,5,,88,,5,,86,,4,,89,,85,,285,,29,,
017326,5,,5,,93,,5,,91,,5,,92,,4,,91,,84,,303,,33,,
017327,4,,4,,91,,5,,91,,4,,83,,4,,90,,82,,197,,28,,
017328,5,,5,,93,,5,,89,,5,,93,,5,,93,,88,,140,,26,,
017831,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017878,5,,5,,95,,5,,91,,5,,89,,5,,95,,91,,85,,23,,
017879,5,11,5,11,94,11,5,11,90,11,5,11,94,11,5,11,89,11,90,11,58,11,27,11,11
017880,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017881,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027001,4,,5,,94,,5,,90,,3,,80,,4,,88,,84,,130,,19,,
027002,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027006,Not Available,11,Not Available,11,86,11,Not Available,11,85,11,Not Available,11,88,11,Not Available,11,82,11,85,11,34,11,21,11,11
027008,3,,3,,86,,3,,82,,3,,78,,2,,83,,81,,230,,18,,
027009,Not Available,11,Not Available,11,95,11,Not Available,11,87,11,Not Available,11,81,11,Not Available,11,81,11,94,11,11,11,15,11,11
027010,Not Available,11,Not Available,11,87,11,Not Available,11,81,11,Not Available,11,84,11,Not Available,11,88,11,79,11,39,11,23,11,11
027014,Not Available,11,Not Available,11,87,11,Not Available,11,81,11,Not Available,11,83,11,Not Available,11,91,11,73,11,21,11,23,11,11
027022,4,11,4,11,89,11,4,11,86,11,5,11,90,11,3,11,83,11,75,11,60,11,28,11,11
027032,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027034,3,11,4,11,85,11,3,11,84,11,3,11,80,11,2,11,76,11,79,11,46,11,17,11,11
027035,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027036,Not Available,11,Not Available,11,78,11,Not Available,11,75,11,Not Available,11,61,11,Not Available,11,66,11,58,11,17,11,15,11,11
027038,3,11,2,11,83,11,4,11,90,11,3,11,78,11,3,11,89,11,80,11,55,11,13,11,11
027305,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037015,4,,4,,89,,4,,86,,3,,78,,3,,85,,77,,1457,,24,,
037016,3,,4,,88,,3,,85,,2,,77,,3,,80,,72,,196,,19,,
037024,4,,5,,92,,4,,87,,3,,80,,4,,89,,80,,315,,28,,
037027,3,,4,,89,,3,,84,,1,,69,,3,,79,,72,,73,,21,,
037030,3,,4,,87,,4,,84,,2,,73,,3,,90,,82,,74,,35,,
037036,4,,4,,91,,4,,88,,3,,80,,3,,83,,84,,87,,29,,
037037,4,,4,,90,,4,,86,,3,,81,,4,,88,,81,,310,,23,,
037042,4,,4,,91,,4,,84,,3,,81,,3,,89,,85,,98,,27,,
037047,5,11,5,11,93,11,4,11,85,11,4,11,82,11,5,11,92,11,92,11,66,11,29,11,11
037050,5,,5,,94,,5,,91,,5,,89,,4,,92,,90,,124,,29,,
037057,4,,4,,90,,4,,86,,5,,91,,3,,87,,76,,145,,40,,
037068,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037070,3,,3,,86,,3,,81,,2,,77,,3,,87,,77,,273,,29,,
037099,3,,4,,89,,3,,85,,3,,80,,3,,87,,73,,120,,22,,
037106,3,,3,,88,,4,,87,,2,,76,,2,,79,,75,,289,,26,,
037112,4,11,5,11,94,11,5,11,91,11,3,11,79,11,4,11,91,11,86,11,48,11,27,11,11
037114,5,,5,,92,,4,,83,,5,,89,,5,,91,,84,,139,,30,,
037118,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037125,Not Available,11,Not Available,11,94,11,Not Available,11,86,11,Not Available,11,83,11,Not Available,11,92,11,87,11,38,11,26,11,11
037129,4,,4,,88,,3,,85,,3,,80,,5,,93,,83,,87,,39,,
037130,4,,5,,91,,4,,86,,4,,84,,4,,92,,87,,317,,36,,
037132,2,,2,,81,,2,,77,,2,,73,,1,,78,,68,,189,,13,,
037139,5,,4,,89,,5,,90,,5,,86,,4,,86,,80,,137,,31,,
037144,4,,4,,88,,3,,83,,4,,82,,3,,84,,78,,171,,30,,
037154,4,,5,,90,,4,,88,,4,,82,,4,,87,,82,,240,,31,,
037162,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037178,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037185,3,,3,,86,,4,,86,,3,,78,,2,,79,,74,,81,,22,,
037188,4,,4,,90,,5,,88,,4,,85,,4,,92,,85,,72,,23,,
037192,4,,4,,87,,3,,82,,4,,85,,3,,81,,76,,329,,26,,
037199,5,,5,,92,,4,,88,,5,,86,,4,,88,,81,,320,,25,,
037202,3,,3,,87,,3,,82,,3,,79,,3,,87,,74,,206,,21,,
037204,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037205,Not Available,9,Not Available,9,100,9,Not Available,9,95,9,Not Available,9,64,9,Not Available,9,100,9,38,9,3,9,21,9,9
037206,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037212,Not Available,11,Not Available,11,76,11,Not Available,11,77,11,Not Available,11,51,11,Not Available,11,71,11,57,11,30,11,30,11,11
037213,4,,4,,90,,4,,86,,3,,79,,4,,87,,79,,325,,31,,
037215,4,,4,,87,,4,,88,,3,,81,,3,,88,,77,,98,,27,,
037217,4,,4,,88,,3,,83,,4,,83,,3,,88,,80,,227,,44,,
037220,2,,3,,87,,2,,78,,2,,72,,2,,81,,70,,166,,22,,
037221,3,,3,,85,,4,,86,,3,,78,,3,,80,,70,,133,,26,,
037226,3,,3,,86,,3,,81,,3,,79,,3,,84,,74,,356,,18,,
037228,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
