"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
037425,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037426,Not Available,11,Not Available,11,89,11,Not Available,11,80,11,Not Available,11,59,11,Not Available,11,82,11,67,11,36,11,24,11,11
037431,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037432,Not Available,11,Not Available,11,85,11,Not Available,11,82,11,Not Available,11,64,11,Not Available,11,74,11,58,11,31,11,12,11,11
037433,3,,4,,87,,4,,84,,2,,70,,3,,82,,77,,157,,22,,
037436,5,11,5,11,95,11,5,11,93,11,5,11,88,11,5,11,93,11,87,11,57,11,20,11,11
037437,3,,4,,88,,2,,78,,4,,84,,3,,79,,77,,79,,32,,
037438,3,,4,,89,,3,,82,,3,,81,,3,,83,,76,,177,,27,,
037439,3,,4,,88,,3,,84,,2,,76,,3,,87,,83,,109,,27,,
037441,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037442,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037443,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037446,4,11,5,11,94,11,4,11,86,11,2,11,71,11,5,11,96,11,82,11,61,11,25,11,11
037447,3,,3,,86,,3,,84,,4,,83,,2,,82,,76,,159,,32,,
037450,4,,4,,88,,4,,87,,4,,83,,3,,86,,82,,258,,29,,
037451,4,,3,,86,,4,,85,,4,,83,,3,,82,,76,,110,,23,,
037452,3,,3,,86,,3,,85,,3,,80,,2,,80,,68,,78,,43,,
037453,Not Available,11,Not Available,11,71,11,Not Available,11,63,11,Not Available,11,58,11,Not Available,11,69,11,56,11,17,11,14,11,11
037454,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037455,5,11,5,11,93,11,5,11,93,11,5,11,86,11,4,11,90,11,78,11,46,11,26,11,11
037456,5,,5,,92,,5,,89,,5,,86,,4,,91,,89,,389,,42,,
037458,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037459,Not Available,11,Not Available,11,91,11,Not Available,11,85,11,Not Available,11,83,11,Not Available,11,92,11,78,11,27,11,16,11,11
037462,Not Available,11,Not Available,11,88,11,Not Available,11,81,11,Not Available,11,65,11,Not Available,11,60,11,73,11,17,11,15,11,11
037463,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037464,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037468,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037469,Not Available,11,Not Available,11,82,11,Not Available,11,86,11,Not Available,11,67,11,Not Available,11,88,11,80,11,14,11,15,11,11
037470,Not Available,"10,11",Not Available,"10,11",86,"10,11",Not Available,"10,11",78,"10,11",Not Available,"10,11",72,"10,11",Not Available,"10,11",49,"10,11",71,"10,11",25,"10,11",23,"10,11","10,11"
037471,Not Available,9,Not Available,9,82,9,Not Available,9,74,9,Not Available,9,79,9,Not Available,9,70,9,70,9,9,9,17,9,9
037472,4,,4,,91,,5,,89,,3,,81,,3,,91,,79,,90,,20,,
037473,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037475,3,,3,,86,,3,,83,,2,,73,,2,,78,,72,,136,,16,,
037476,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037477,3,,3,,86,,3,,84,,3,,81,,3,,84,,77,,104,,30,,
037478,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037479,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037480,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037481,1,11,1,11,75,11,2,11,76,11,1,11,64,11,1,11,71,11,69,11,44,11,11,11,11
037482,3,,4,,88,,3,,81,,2,,72,,3,,87,,75,,107,,38,,
037484,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037485,4,11,4,11,87,11,4,11,86,11,2,11,77,11,4,11,88,11,79,11,53,11,39,11,11
037486,5,,5,,95,,5,,92,,4,,84,,5,,94,,95,,75,,45,,
037487,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037489,5,11,5,11,99,11,5,11,95,11,5,11,93,11,5,11,99,11,100,11,43,11,33,11,11
037492,3,,4,,88,,3,,83,,2,,75,,3,,82,,71,,437,,25,,
037493,3,11,4,11,91,11,2,11,83,11,4,11,82,11,2,11,78,11,88,11,40,11,20,11,11
037494,3,,4,,88,,4,,85,,3,,79,,2,,79,,74,,389,,31,,
037496,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037497,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037498,3,,4,,90,,3,,85,,1,,65,,3,,84,,85,,97,,16,,
037499,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037500,5,,5,,91,,5,,89,,5,,89,,4,,92,,93,,119,,42,,
037502,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037802,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037803,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037804,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037805,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037806,1,,1,,74,,1,,74,,1,,61,,1,,58,,52,,124,,14,,
037807,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037808,3,11,4,11,90,11,4,11,85,11,2,11,71,11,3,11,82,11,80,11,56,11,17,11,11
037809,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037810,Not Available,11,Not Available,11,82,11,Not Available,11,84,11,Not Available,11,79,11,Not Available,11,74,11,72,11,37,11,15,11,11
037811,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037812,5,,5,,94,,5,,92,,5,,87,,4,,88,,81,,72,,27,,
037813,5,,5,,92,,5,,92,,4,,85,,4,,87,,86,,142,,30,,
037814,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037815,3,,4,,90,,4,,86,,2,,75,,3,,83,,75,,160,,24,,
037817,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037818,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037819,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037820,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037821,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037822,4,11,5,11,90,11,4,11,84,11,4,11,82,11,3,11,82,11,78,11,51,11,26,11,11
037824,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037825,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037826,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037827,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037828,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037829,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037830,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037831,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047001,3,,3,,86,,3,,82,,2,,77,,2,,82,,68,,170,,20,,
047004,4,,4,,90,,5,,91,,5,,90,,3,,84,,84,,76,,26,,
047006,4,,4,,90,,4,,87,,4,,83,,4,,85,,81,,272,,24,,
047009,5,,5,,91,,5,,91,,4,,85,,4,,88,,80,,105,,27,,
047010,4,,5,,92,,5,,90,,3,,81,,4,,86,,81,,262,,26,,
047011,5,,4,,89,,5,,92,,5,,89,,4,,88,,85,,134,,37,,
047016,5,,5,,92,,5,,91,,5,,86,,4,,89,,84,,331,,35,,
047020,4,,5,,93,,4,,88,,4,,83,,4,,90,,83,,269,,28,,
047021,4,,4,,91,,5,,90,,3,,81,,4,,87,,83,,236,,27,,
047024,5,,5,,96,,5,,93,,4,,85,,5,,93,,94,,123,,30,,
047025,4,,4,,90,,4,,86,,4,,85,,5,,88,,83,,71,,30,,
047028,4,,4,,87,,4,,86,,4,,83,,3,,85,,78,,615,,23,,
047029,3,,3,,84,,3,,82,,3,,79,,3,,84,,75,,211,,19,,
047030,Not Available,9,Not Available,9,88,9,Not Available,9,80,9,Not Available,9,98,9,Not Available,9,100,9,53,9,5,9,21,9,9
047031,5,11,5,11,93,11,5,11,87,11,5,11,87,11,4,11,89,11,85,11,44,11,40,11,11
047032,5,,5,,93,,5,,91,,4,,85,,4,,90,,86,,198,,30,,
047033,4,,5,,91,,4,,88,,4,,84,,4,,90,,82,,339,,22,,
047034,Not Available,11,Not Available,11,74,11,Not Available,11,75,11,Not Available,11,65,11,Not Available,11,72,11,66,11,21,11,23,11,11
047035,5,,5,,92,,5,,89,,4,,83,,4,,90,,84,,314,,30,,
047038,4,,4,,87,,4,,84,,3,,80,,3,,83,,77,,301,,23,,
047043,4,,4,,89,,4,,85,,4,,83,,4,,87,,81,,253,,29,,
047044,3,,3,,87,,4,,84,,4,,83,,1,,79,,73,,70,,25,,
047046,5,,5,,92,,5,,90,,5,,92,,4,,91,,86,,171,,31,,
047048,4,11,4,11,90,11,5,11,91,11,4,11,85,11,2,11,81,11,79,11,46,11,30,11,11
047052,4,,4,,91,,4,,88,,4,,83,,4,,88,,81,,145,,27,,
047056,4,11,5,11,94,11,5,11,93,11,3,11,79,11,4,11,88,11,88,11,69,11,24,11,11
047057,4,,4,,89,,4,,87,,4,,82,,3,,85,,72,,184,,18,,
047070,2,11,2,11,80,11,3,11,85,11,2,11,75,11,1,11,70,11,75,11,53,11,21,11,11
047080,5,,5,,92,,5,,89,,5,,89,,4,,89,,83,,355,,31,,
047081,5,11,5,11,97,11,5,11,96,11,5,11,91,11,5,11,97,11,99,11,59,11,39,11,11
047082,5,11,5,11,92,11,5,11,89,11,3,11,79,11,5,11,96,11,78,11,52,11,22,11,11
047083,5,,5,,94,,5,,92,,5,,90,,5,,94,,88,,175,,27,,
047087,5,,5,,93,,5,,93,,5,,89,,5,,93,,90,,115,,35,,
047088,Not Available,11,Not Available,11,84,11,Not Available,11,86,11,Not Available,11,84,11,Not Available,11,71,11,66,11,11,11,27,11,11
047090,5,,5,,91,,5,,89,,4,,85,,4,,91,,84,,384,,22,,
047093,5,,5,,91,,5,,89,,4,,83,,4,,90,,84,,513,,26,,
047096,4,,5,,91,,4,,86,,4,,85,,4,,87,,85,,89,,32,,
047097,5,,5,,92,,5,,92,,5,,89,,4,,95,,94,,126,,31,,
047099,3,,4,,90,,4,,85,,3,,78,,2,,79,,76,,109,,21,,
047102,4,,4,,89,,5,,89,,3,,80,,4,,89,,86,,128,,20,,
047104,5,11,5,11,92,11,5,11,90,11,5,11,86,11,5,11,91,11,83,11,56,11,19,11,11
047105,4,,4,,90,,4,,85,,4,,85,,4,,87,,81,,258,,23,,
047108,5,,5,,91,,5,,91,,5,,90,,4,,93,,89,,180,,30,,
047109,5,,5,,92,,5,,91,,5,,86,,5,,92,,84,,146,,30,,
047114,Not Available,11,Not Available,11,81,11,Not Available,11,84,11,Not Available,11,73,11,Not Available,11,90,11,82,11,25,11,22,11,11
047115,5,,5,,92,,5,,92,,5,,89,,4,,91,,83,,441,,29,,
047116,Not Available,11,Not Available,11,80,11,Not Available,11,80,11,Not Available,11,72,11,Not Available,11,79,11,80,11,31,11,26,11,11
047117,3,,3,,86,,3,,84,,3,,80,,3,,85,,76,,389,,20,,
047118,Not Available,11,Not Available,11,90,11,Not Available,11,91,11,Not Available,11,86,11,Not Available,11,88,11,89,11,37,11,20,11,11
047122,5,,4,,91,,5,,90,,5,,89,,4,,89,,77,,146,,23,,
047127,5,"10,11",5,"10,11",96,"10,11",5,"10,11",94,"10,11",5,"10,11",92,"10,11",5,"10,11",92,"10,11",86,"10,11",50,"10,11",19,"10,11","10,11"
047128,5,,5,,93,,5,,89,,5,,89,,5,,93,,90,,211,,23,,
047133,5,,5,,91,,5,,90,,5,,90,,4,,87,,86,,329,,33,,
047134,5,,5,,91,,5,,90,,5,,88,,4,,89,,83,,195,,28,,
047135,3,11,5,11,92,11,3,11,80,11,3,11,79,11,2,11,78,11,75,11,47,11,22,11,11
047138,5,,5,,91,,5,,88,,4,,85,,4,,88,,83,,520,,29,,
047139,5,,5,,93,,5,,92,,5,,87,,5,,95,,92,,96,,33,,
047140,5,,5,,92,,5,,91,,5,,88,,5,,92,,87,,78,,27,,
047145,5,,5,,91,,5,,88,,5,,88,,4,,88,,84,,292,,24,,
047147,4,,4,,91,,4,,89,,4,,82,,3,,84,,82,,126,,29,,
047148,5,,5,,93,,5,,94,,5,,86,,5,,95,,91,,127,,30,,
047149,5,,5,,91,,5,,91,,4,,84,,4,,91,,86,,299,,31,,
047151,5,,5,,90,,5,,88,,5,,87,,3,,86,,82,,544,,26,,
047153,Not Available,11,Not Available,11,97,11,Not Available,11,88,11,Not Available,11,77,11,Not Available,11,96,11,93,11,31,11,20,11,11
047156,4,11,5,11,92,11,5,11,87,11,3,11,80,11,4,11,94,11,83,11,46,11,41,11,11
047162,Not Available,11,Not Available,11,96,11,Not Available,11,85,11,Not Available,11,81,11,Not Available,11,89,11,88,11,21,11,42,11,11
047167,4,,4,,87,,5,,85,,4,,84,,4,,86,,89,,83,,29,,
047168,4,,3,,88,,4,,87,,5,,86,,3,,83,,79,,204,,26,,
047169,5,,5,,91,,5,,89,,5,,89,,4,,92,,86,,150,,29,,
047170,3,,3,,86,,4,,85,,2,,77,,3,,86,,76,,224,,26,,
047172,4,,4,,90,,4,,83,,4,,83,,4,,86,,82,,127,,23,,
047173,5,,5,,93,,5,,92,,4,,84,,5,,92,,90,,140,,24,,
047174,4,,5,,91,,3,,83,,5,,87,,4,,86,,84,,91,,24,,
047175,4,11,5,11,93,11,4,11,84,11,4,11,83,11,4,11,84,11,84,11,62,11,28,11,11
047176,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047178,5,,4,,91,,5,,90,,5,,87,,4,,89,,85,,163,,25,,
047179,4,,4,,90,,5,,89,,2,,76,,3,,85,,85,,84,,30,,
047180,Not Available,9,Not Available,9,84,9,Not Available,9,88,9,Not Available,9,50,9,Not Available,9,100,9,51,9,2,9,5,9,9
047181,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047306,Not Available,11,Not Available,11,100,11,Not Available,11,91,11,Not Available,11,90,11,Not Available,11,100,11,83,11,16,11,30,11,11
047326,4,11,4,11,91,11,5,11,91,11,4,11,84,11,3,11,83,11,89,11,66,11,21,11,11
047338,5,,5,,94,,5,,93,,5,,89,,5,,94,,87,,80,,26,,
047339,5,,4,,90,,5,,89,,5,,89,,4,,86,,83,,363,,32,,
047346,4,,4,,90,,5,,88,,4,,83,,4,,90,,82,,429,,30,,
047803,5,,5,,92,,5,,91,,4,,85,,4,,87,,87,,111,,28,,
047818,4,,5,,91,,4,,85,,4,,85,,4,,94,,84,,83,,24,,
047823,4,,4,,90,,4,,86,,4,,83,,3,,86,,82,,145,,21,,
047824,4,,4,,90,,5,,87,,3,,81,,4,,90,,76,,96,,24,,
047838,3,11,2,11,85,11,3,11,80,11,5,11,86,11,2,11,82,11,80,11,55,11,20,11,11
047840,4,11,4,11,88,11,3,11,81,11,4,11,84,11,3,11,90,11,72,11,62,11,25,11,11
047844,4,,5,,91,,4,,87,,3,,78,,3,,83,,74,,125,,23,,
047850,4,,5,,93,,5,,90,,3,,80,,4,,91,,85,,123,,28,,
047853,4,,4,,88,,5,,89,,4,,85,,3,,85,,81,,134,,17,,
047855,4,,4,,89,,5,,86,,5,,88,,3,,83,,76,,81,,23,,
047870,4,,4,,89,,4,,88,,4,,82,,3,,83,,74,,105,,26,,
053100,3,,4,,88,,3,,83,,2,,74,,3,,80,,77,,89,,26,,
053101,Not Available,11,Not Available,11,86,11,Not Available,11,85,11,Not Available,11,75,11,Not Available,11,81,11,67,11,25,11,27,11,11
053102,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053103,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053105,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053106,Not Available,9,Not Available,9,100,9,Not Available,9,95,9,Not Available,9,88,9,Not Available,9,100,9,100,9,9,9,12,9,9
053107,Not Available,11,Not Available,11,93,11,Not Available,11,98,11,Not Available,11,85,11,Not Available,11,99,11,78,11,13,11,8,11,11
053108,Not Available,11,Not Available,11,93,11,Not Available,11,92,11,Not Available,11,92,11,Not Available,11,93,11,92,11,23,11,29,11,11
053109,Not Available,11,Not Available,11,86,11,Not Available,11,85,11,Not Available,11,86,11,Not Available,11,87,11,59,11,14,11,25,11,11
053110,Not Available,11,Not Available,11,96,11,Not Available,11,92,11,Not Available,11,89,11,Not Available,11,99,11,94,11,23,11,6,11,11
053113,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053114,Not Available,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,100,9,100,9,4,9,7,9,9
053116,3,,3,,88,,4,,86,,2,,75,,2,,79,,76,,145,,18,,
053117,Not Available,11,Not Available,11,85,11,Not Available,11,75,11,Not Available,11,89,11,Not Available,11,74,11,66,11,12,11,17,11,11
053119,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053120,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053122,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053123,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053124,3,,3,,85,,3,,81,,2,,77,,2,,79,,65,,311,,23,,
053125,Not Available,11,Not Available,11,98,11,Not Available,11,96,11,Not Available,11,99,11,Not Available,11,100,11,100,11,31,11,19,11,11
053126,Not Available,11,Not Available,11,87,11,Not Available,11,85,11,Not Available,11,91,11,Not Available,11,86,11,74,11,21,11,6,11,11
053127,Not Available,11,Not Available,11,93,11,Not Available,11,89,11,Not Available,11,68,11,Not Available,11,80,11,80,11,12,11,11,11,11
053128,Not Available,11,Not Available,11,88,11,Not Available,11,86,11,Not Available,11,97,11,Not Available,11,92,11,69,11,16,11,11,11,11
053129,3,,4,,87,,3,,82,,3,,80,,2,,79,,72,,283,,22,,
053130,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053132,Not Available,9,Not Available,9,85,9,Not Available,9,72,9,Not Available,9,86,9,Not Available,9,45,9,43,9,2,9,3,9,9
053133,Not Available,11,Not Available,11,83,11,Not Available,11,89,11,Not Available,11,89,11,Not Available,11,84,11,78,11,36,11,14,11,11
053134,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053135,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053136,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053137,2,,2,,83,,2,,78,,1,,69,,1,,64,,64,,112,,9,,
053138,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053139,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053140,Not Available,11,Not Available,11,58,11,Not Available,11,68,11,Not Available,11,71,11,Not Available,11,51,11,38,11,23,11,9,11,11
053142,Not Available,11,Not Available,11,97,11,Not Available,11,88,11,Not Available,11,93,11,Not Available,11,88,11,86,11,13,11,23,11,11
053143,Not Available,11,Not Available,11,85,11,Not Available,11,83,11,Not Available,11,71,11,Not Available,11,75,11,66,11,23,11,15,11,11
053144,Not Available,11,Not Available,11,89,11,Not Available,11,86,11,Not Available,11,90,11,Not Available,11,81,11,64,11,21,11,26,11,11
053146,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053147,Not Available,11,Not Available,11,68,11,Not Available,11,75,11,Not Available,11,73,11,Not Available,11,68,11,51,11,19,11,21,11,11
